maturity,method,price,absolute_error_vs_standard_bs,elapsed_seconds
3M,Analytical Black-Scholes,0.09902531771414735,0.0,0.0
3M,Explicit FDM,0.09929967845705574,0.00027436074290838885,0.003335900022648275
3M,Crank-Nicolson,0.0992927618339432,0.0002674441197958455,0.031198999960906804
3M,Monte Carlo,0.09977408314980507,0.0007487654356577167,0.0022077999892644584
3M,Paper reported exact,0.09737,0.0016553177141473557,
3M,Paper reported MCFDM,0.09543,0.003595317714147353,
3M,Paper reported CFDM,0.06931,0.029715317714147357,
3M,Paper reported Monte Carlo,0.09464,0.004385317714147352,
6M,Analytical Black-Scholes,0.21128911964800356,0.0,0.0
6M,Explicit FDM,0.2113174962082266,2.8376560223031255e-05,0.003863500023726374
6M,Crank-Nicolson,0.21129226323856018,3.143590556614617e-06,0.026639100047759712
6M,Monte Carlo,0.2109944147245044,0.00029470492349917277,0.002231300051789731
6M,Paper reported exact,0.13606,0.07522911964800358,
6M,Paper reported MCFDM,0.12422,0.08706911964800357,
6M,Paper reported CFDM,0.09384,0.11744911964800356,
6M,Paper reported Monte Carlo,0.14414,0.06714911964800357,
1Y,Analytical Black-Scholes,0.40131923469266795,0.0,0.0
1Y,Explicit FDM,0.40127857721233995,4.0657480327999096e-05,0.0036433000350371003
1Y,Crank-Nicolson,0.4012277863051528,9.144838751512507e-05,0.027062300010584295
1Y,Monte Carlo,0.40397359446781744,0.002654359775149495,0.0018706000410020351
1Y,Paper reported exact,0.40131,9.23469266794763e-06,
1Y,Paper reported MCFDM,0.39892,0.002399234692667951,
1Y,Paper reported CFDM,0.23263,0.16868923469266794,
1Y,Paper reported Monte Carlo,0.40262,0.0013007653073320302,
