table,maturity,spot,strike,paper_exact,standard_call,standard_put,call_gap,put_gap,closest_standard_formula
Table 1 - call,3M,5.0,5.5,0.09737,0.09902531771414735,0.5307032204304951,0.0016553177141473557,0.4333332204304951,call
Table 1 - call,6M,5.0,5.5,0.13606,0.21128911964800356,0.5754936358038325,0.07522911964800358,0.43943363580383255,call
Table 1 - call,1Y,5.0,5.5,0.40131,0.40131923469266795,0.6330810694465954,9.23469266794763e-06,0.23177106944659537,call
Table 2 - call,3M,7.0,7.5,0.18895,0.1915593492699479,0.5983928529740599,0.0026093492699478804,0.40944285297405986,call
Table 2 - call,6M,7.0,7.5,0.24914,0.36218520828488154,0.6770095484973764,0.11304520828488154,0.42786954849737635,call
Table 2 - call,1Y,7.0,7.5,0.63791,0.6379178865314574,0.7721385702868124,7.886531457446111e-06,0.13422857028681245,call
Table 3 - labelled put,3M,5.5,5.0,0.63017,0.6320731948623446,0.06996219733175246,0.0019031948623445816,0.5602078026682475,call
Table 3 - labelled put,6M,5.5,5.0,0.75512,0.7583191804117235,0.13486874055338682,0.0031991804117235123,0.6202512594466132,call
Table 3 - labelled put,1Y,5.5,5.0,0.96525,0.9652545764655698,0.22140169896914008,4.5764655697277945e-06,0.74384830103086,call
Table 4 - labelled put,3M,7.5,7.0,0.72335,0.7262003909188701,0.13924499437603965,0.0028503909188700716,0.5841050056239604,call
Table 4 - labelled put,6M,7.5,7.0,0.90583,0.9104016288927657,0.23757101309109352,0.0045716288927656334,0.6682589869089065,call
Table 4 - labelled put,1Y,7.5,7.0,1.20269,1.2026975348744822,0.36130350637947917,7.534874482129084e-06,0.8413864936205209,call
